timestamp,model,prompt_tokens,completion_tokens,total_tokens,elapsed_ms,success,error
2026-08-29T15:37:42.984647,deepseek-v4-flash,13,1024,1037,7008.49,True,
2026-08-29T15:38:29.873078,deepseek-v4-flash,13,1024,1037,6817.10,True,
2026-08-30T10:07:24.434212,deepseek-v4-flash,9,89,98,1656.57,True,
2026-08-30T10:07:31.510658,deepseek-v4-flash,104,63,167,1589.04,True,
2026-08-30T10:18:02.511703,deepseek-v4-flash,9,37,46,1022.01,True,
2026-08-30T10:20:23.609437,deepseek-v4-flash,9,81,90,4499.22,True,
2026-08-30T10:20:44.257692,deepseek-v4-flash,95,772,867,4713.83,True,
2026-08-30T10:23:24.818258,deepseek-v4-flash,9,168,177,5755.06,True,
2026-08-30T11:46:37.842120,deepseek-v4-flash,17,200,217,3481.89,True,
2026-08-30T11:46:41.035190,deepseek-v4-flash,17,200,217,3191.48,True,
2026-08-30T11:46:43.767676,deepseek-v4-flash,17,200,217,2731.72,True,
2026-08-30T11:46:47.778884,deepseek-v4-flash,17,300,317,4010.53,True,
2026-08-30T11:46:52.843622,deepseek-v4-flash,17,400,417,5064.56,True,
2026-08-30T12:05:18.090655,deepseek-v4-flash,32,150,182,3214.70,True,
2026-08-30T12:05:23.060220,deepseek-v4-flash,25,500,525,4968.25,True,
2026-08-30T12:05:27.197120,deepseek-v4-flash,93,500,593,4136.19,True,
2026-08-30T12:05:30.404776,deepseek-v4-flash,37,333,370,3207.17,True,
